Parameter.Code,monitor_id,POC,Date.Local,Units.of.Measure,mean
44201,0050002,1,2010-04-01,Parts per billion,56.875
44201,0050002,1,2010-04-02,Parts per billion,50.125
44201,0050002,1,2010-04-03,Parts per billion,54.875
44201,0050002,1,2010-04-04,Parts per billion,59.75
44201,0050002,1,2010-04-05,Parts per billion,51.625
44201,0050002,1,2010-04-06,Parts per billion,56
44201,0050002,1,2010-04-07,Parts per billion,50.75
44201,0050002,1,2010-04-08,Parts per billion,53
44201,0050002,1,2010-04-09,Parts per billion,51.25
44201,0050002,1,2010-04-10,Parts per billion,45
44201,0050002,1,2010-04-11,Parts per billion,60
44201,0050002,1,2010-04-12,Parts per billion,54.25
44201,0050002,1,2010-04-13,Parts per billion,74.375
44201,0050002,1,2010-04-14,Parts per billion,64.625
44201,0050002,1,2010-04-15,Parts per billion,58.75
44201,0050002,1,2010-04-16,Parts per billion,44.625
44201,0050002,1,2010-04-17,Parts per billion,34
44201,0050002,1,2010-04-18,Parts per billion,64.25
44201,0050002,1,2010-04-19,Parts per billion,65.25
44201,0050002,1,2010-04-20,Parts per billion,31.25
44201,0050002,1,2010-04-21,Parts per billion,42.125
44201,0050002,1,2010-04-22,Parts per billion,43.875
44201,0050002,1,2010-04-23,Parts per billion,45.5
44201,0050002,1,2010-04-24,Parts per billion,53.25
44201,0050002,1,2010-04-25,Parts per billion,47.5
44201,0050002,1,2010-04-26,Parts per billion,51.625
44201,0050002,1,2010-04-27,Parts per billion,53.25
44201,0050002,1,2010-04-28,Parts per billion,51.375
44201,0050002,1,2010-04-29,Parts per billion,55
44201,0050002,1,2010-04-30,Parts per billion,39.25
44201,0050002,1,2010-05-01,Parts per billion,49.625
44201,0050002,1,2010-05-02,Parts per billion,42.875
44201,0050002,1,2010-05-03,Parts per billion,49.875
44201,0050002,1,2010-05-04,Parts per billion,53.875
44201,0050002,1,2010-05-05,Parts per billion,51.25
44201,0050002,1,2010-05-06,Parts per billion,48
44201,0050002,1,2010-05-07,Parts per billion,50.875
44201,0050002,1,2010-05-08,Parts per billion,43.875
44201,0050002,1,2010-05-09,Parts per billion,60.125
44201,0050002,1,2010-05-10,Parts per billion,63.125
44201,0050002,1,2010-05-11,Parts per billion,34.625
44201,0050002,1,2010-05-12,Parts per billion,29.875
44201,0050002,1,2010-05-13,Parts per billion,45.125
44201,0050002,1,2010-05-14,Parts per billion,39
44201,0050002,1,2010-05-15,Parts per billion,53
44201,0050002,1,2010-05-16,Parts per billion,63
44201,0050002,1,2010-05-17,Parts per billion,59.5
44201,0050002,1,2010-05-18,Parts per billion,51.5
44201,0050002,1,2010-05-19,Parts per billion,56.75
44201,0050002,1,2010-05-20,Parts per billion,47
44201,0050002,1,2010-05-21,Parts per billion,59.875
44201,0050002,1,2010-05-22,Parts per billion,58.875
44201,0050002,1,2010-05-23,Parts per billion,54
44201,0050002,1,2010-05-24,Parts per billion,73.375
44201,0050002,1,2010-05-25,Parts per billion,62.75
44201,0050002,1,2010-05-26,Parts per billion,51.25
44201,0050002,1,2010-05-27,Parts per billion,53
44201,0050002,1,2010-05-28,Parts per billion,58.125
44201,0050002,1,2010-05-29,Parts per billion,53.875
44201,0050002,1,2010-05-30,Parts per billion,54.625
44201,0050002,1,2010-05-31,Parts per billion,61
