Parameter.Code,monitor_id,POC,Date.Local,Units.of.Measure,d8hmax
44201,0310014,2,2010-08-13,Parts per million,0.06125
44201,0310014,2,2010-08-14,Parts per million,0.056874999999999995
44201,0310014,2,2010-08-15,Parts per million,0.0645
44201,0310014,2,2010-08-16,Parts per million,0.03675
44201,0310014,2,2010-08-17,Parts per million,0.053
44201,0310014,2,2010-08-18,Parts per million,0.06475
44201,0310014,2,2010-08-19,Parts per million,0.041375
44201,0310014,2,2010-08-20,Parts per million,0.057875
44201,0310014,2,2010-08-21,Parts per million,0.056625
44201,0310014,2,2010-08-22,Parts per million,0.057875
44201,0310014,2,2010-08-23,Parts per million,0.046875
44201,0310014,2,2010-08-24,Parts per million,0.051625000000000004
44201,0310014,2,2010-08-25,Parts per million,0.063125
44201,0310014,2,2010-08-26,Parts per million,0.06075
44201,0310014,2,2010-08-27,Parts per million,0.055875
44201,0310014,2,2010-08-28,Parts per million,0.059375
44201,0310014,2,2010-08-29,Parts per million,0.050625
44201,0310014,2,2010-08-30,Parts per million,0.051250000000000004
44201,0310014,2,2010-08-31,Parts per million,0.05325
44201,0310014,2,2010-09-01,Parts per million,0.058374999999999996
44201,0310014,2,2010-09-02,Parts per million,0.044
44201,0310014,2,2010-09-03,Parts per million,0.0405
44201,0310014,2,2010-09-04,Parts per million,0.044625
44201,0310014,2,2010-09-05,Parts per million,0.054125
44201,0310014,2,2010-09-06,Parts per million,0.0535
44201,0310014,2,2010-09-07,Parts per million,0.04675
44201,0310014,2,2010-09-08,Parts per million,0.03875
44201,0310014,2,2010-09-09,Parts per million,0.043
44201,0310014,2,2010-09-10,Parts per million,0.050125
44201,0310014,2,2010-09-11,Parts per million,0.061375
44201,0310014,2,2010-09-12,Parts per million,0.056125
44201,0310014,2,2010-09-13,Parts per million,0.051375
44201,0310014,2,2010-09-14,Parts per million,0.05175
44201,0310014,2,2010-09-15,Parts per million,0.0525
44201,0310014,2,2010-09-16,Parts per million,0.055
44201,0310014,2,2010-09-17,Parts per million,0.045875
44201,0310014,2,2010-09-18,Parts per million,0.0305
44201,0310014,2,2010-09-19,Parts per million,0.04875
44201,0310014,2,2010-09-20,Parts per million,0.04475
44201,0310014,2,2010-09-21,Parts per million,0.04275
44201,0310014,2,2010-09-22,Parts per million,0.018625
44201,0310014,2,2010-09-23,Parts per million,0.04625
44201,0310014,2,2010-09-24,Parts per million,0.042375
44201,0310014,2,2010-09-25,Parts per million,0.046625
44201,0310014,2,2010-09-26,Parts per million,0.051875
44201,0310014,2,2010-09-27,Parts per million,0.04625
44201,0310014,2,2010-09-28,Parts per million,0.04
44201,0310014,2,2010-09-29,Parts per million,0.038125
44201,0310014,2,2010-09-30,Parts per million,0.04325
44201,0310014,2,2010-10-01,Parts per million,0.057374999999999995
44201,0310014,2,2010-10-02,Parts per million,0.04
44201,0310014,2,2010-10-03,Parts per million,0.0415
44201,0310014,2,2010-10-04,Parts per million,0.041
44201,0310014,2,2010-10-05,Parts per million,0.045
44201,0310014,2,2010-10-06,Parts per million,0.041125
44201,0310014,2,2010-10-07,Parts per million,0.041499999999999995
44201,0310014,2,2010-10-08,Parts per million,0.049
44201,0310014,2,2010-10-09,Parts per million,0.051
44201,0310014,2,2010-10-10,Parts per million,0.03475
44201,0310014,2,2010-10-11,Parts per million,0.043125
44201,0310014,2,2010-10-12,Parts per million,0.034
44201,0310014,2,2010-10-13,Parts per million,0.032
44201,0310014,2,2010-10-14,Parts per million,0.034125
44201,0310014,2,2010-10-15,Parts per million,0.031625
44201,0310014,2,2010-10-16,Parts per million,0.036875
44201,0310014,2,2010-10-17,Parts per million,0.0445
44201,0310014,2,2010-10-18,Parts per million,0.036125
44201,0310014,2,2010-10-19,Parts per million,0.034999999999999996
44201,0310014,2,2010-10-20,Parts per million,0.036625
44201,0310014,2,2010-10-21,Parts per million,0.03175
44201,0310014,2,2010-10-22,Parts per million,0.031
44201,0310014,2,2010-10-23,Parts per million,0.0405
44201,0310014,2,2010-10-24,Parts per million,0.0385
44201,0310014,2,2010-10-25,Parts per million,0.045
44201,0310014,2,2010-10-26,Parts per million,0.041625
44201,0310014,2,2010-10-27,Parts per million,0.04
44201,0310014,2,2010-10-28,Parts per million,0.021125
44201,0310014,2,2010-10-29,Parts per million,0.0315
44201,0310014,2,2010-10-30,Parts per million,0.039
44201,0310014,2,2010-10-31,Parts per million,0.04375
44201,0310014,2,2010-11-01,Parts per million,0.039
44201,0310014,2,2010-11-02,Parts per million,0.029625000000000002
44201,0310014,2,2010-11-03,Parts per million,0.027375
44201,0310014,2,2010-11-04,Parts per million,0.0185
44201,0310014,2,2010-11-05,Parts per million,0.028125
44201,0310014,2,2010-11-06,Parts per million,0.028125
44201,0310014,2,2010-11-07,Parts per million,0.03425
44201,0310014,2,2010-11-08,Parts per million,0.027875
44201,0310014,2,2010-11-09,Parts per million,0.025500000000000002
44201,0310014,2,2010-11-10,Parts per million,0.02425
44201,0310014,2,2010-11-11,Parts per million,0.0235
44201,0310014,2,2010-11-12,Parts per million,0.026875
44201,0310014,2,2010-11-13,Parts per million,0.030875
44201,0310014,2,2010-11-14,Parts per million,0.02725
44201,0310014,2,2010-11-15,Parts per million,0.018000000000000002
44201,0310014,2,2010-11-16,Parts per million,0.038875
44201,0310014,2,2010-11-17,Parts per million,0.017875
44201,0310014,2,2010-11-18,Parts per million,0.013125
44201,0310014,2,2010-11-19,Parts per million,0.007125
44201,0310014,2,2010-11-20,Parts per million,0.0063750000000000005
44201,0310014,2,2010-11-21,Parts per million,0.01475
44201,0310014,2,2010-11-22,Parts per million,0.040875
44201,0310014,2,2010-11-23,Parts per million,0.028
44201,0310014,2,2010-11-24,Parts per million,0.027125
44201,0310014,2,2010-11-25,Parts per million,0.037375
44201,0310014,2,2010-11-26,Parts per million,0.031375
44201,0310014,2,2010-11-27,Parts per million,0.024
44201,0310014,2,2010-11-28,Parts per million,0.029875
44201,0310014,2,2010-11-29,Parts per million,0.035
44201,0310014,2,2010-11-30,Parts per million,0.032375
44201,0310014,2,2010-12-01,Parts per million,0.02025
44201,0310014,2,2010-12-02,Parts per million,0.011625
44201,0310014,2,2010-12-03,Parts per million,0.034999999999999996
44201,0310014,2,2010-12-04,Parts per million,0.029625
44201,0310014,2,2010-12-05,Parts per million,0.0175
44201,0310014,2,2010-12-06,Parts per million,0.0065
44201,0310014,2,2010-12-07,Parts per million,0.018375
44201,0310014,2,2010-12-08,Parts per million,0.00925
44201,0310014,2,2010-12-09,Parts per million,0.025625000000000002
44201,0310014,2,2010-12-10,Parts per million,0.0405
44201,0310014,2,2010-12-11,Parts per million,0.038375
44201,0310014,2,2010-12-12,Parts per million,0.029875
44201,0310014,2,2010-12-13,Parts per million,0.01425
44201,0310014,2,2010-12-14,Parts per million,0.02275
44201,0310014,2,2010-12-15,Parts per million,0.027625
44201,0310014,2,2010-12-16,Parts per million,0.03125
44201,0310014,2,2010-12-17,Parts per million,0.016375
44201,0310014,2,2010-12-18,Parts per million,0.00825
44201,0310014,2,2010-12-19,Parts per million,0.014875
44201,0310014,2,2010-12-20,Parts per million,0.028875
44201,0310014,2,2010-12-21,Parts per million,0.030625
44201,0310014,2,2010-12-22,Parts per million,0.00625
44201,0310014,2,2010-12-23,Parts per million,0.009
44201,0310014,2,2010-12-24,Parts per million,0.02975
44201,0310014,2,2010-12-25,Parts per million,0.02725
44201,0310014,2,2010-12-26,Parts per million,0.011
44201,0310014,2,2010-12-27,Parts per million,0.025750000000000002
44201,0310014,2,2010-12-28,Parts per million,0.017125
44201,0310014,2,2010-12-29,Parts per million,0.029125
44201,0310014,2,2010-12-30,Parts per million,0.028
44201,0310014,2,2010-12-31,Parts per million,0.02775
44201,0310025,1,2010-01-01,Parts per million,0.017
44201,0310025,1,2010-01-02,Parts per million,0.01225
44201,0310025,1,2010-01-03,Parts per million,0.025375
44201,0310025,1,2010-01-04,Parts per million,0.025875
44201,0310025,1,2010-01-05,Parts per million,0.026375
44201,0310025,1,2010-01-06,Parts per million,0.014125
44201,0310025,1,2010-01-07,Parts per million,0.014875
44201,0310025,1,2010-01-08,Parts per million,0.013125
44201,0310025,1,2010-01-09,Parts per million,0.01
44201,0310025,1,2010-01-10,Parts per million,0.027
44201,0310025,1,2010-01-11,Parts per million,0.015125
44201,0310025,1,2010-01-12,Parts per million,0.01825
44201,0310025,1,2010-01-13,Parts per million,0.015375
44201,0310025,1,2010-01-14,Parts per million,0.006625
44201,0310025,1,2010-01-15,Parts per million,0.024625
44201,0310025,1,2010-01-16,Parts per million,0.024375
44201,0310025,1,2010-01-17,Parts per million,0.01725
44201,0310025,1,2010-01-18,Parts per million,0.02025
44201,0310025,1,2010-01-19,Parts per million,0.0015
44201,0310025,1,2010-01-20,Parts per million,0.01175
44201,0310025,1,2010-01-21,Parts per million,0.002875
44201,0310025,1,2010-01-22,Parts per million,0.035250000000000004
44201,0310025,1,2010-01-23,Parts per million,0.038375
44201,0310025,1,2010-01-24,Parts per million,0.03875
44201,0310025,1,2010-01-25,Parts per million,0.03225
44201,0310025,1,2010-01-26,Parts per million,0.004375
44201,0310025,1,2010-01-27,Parts per million,0.01725
44201,0310025,1,2010-01-28,Parts per million,0.0105
44201,0310025,1,2010-01-29,Parts per million,0.018875
44201,0310025,1,2010-01-30,Parts per million,0.026375
44201,0310025,1,2010-01-31,Parts per million,0.018375
44201,0310025,1,2010-02-01,Parts per million,0.034625
44201,0310025,1,2010-02-02,Parts per million,0.01925
44201,0310025,1,2010-02-03,Parts per million,0.02075
44201,0310025,1,2010-02-04,Parts per million,0.040625
44201,0310025,1,2010-02-05,Parts per million,0.028375
44201,0310025,1,2010-02-06,Parts per million,0.01125
44201,0310025,1,2010-02-07,Parts per million,0.01325
44201,0310025,1,2010-02-08,Parts per million,0.023375
44201,0310025,1,2010-02-09,Parts per million,0.015875
44201,0310025,1,2010-02-10,Parts per million,0.023125
44201,0310025,1,2010-02-11,Parts per million,0.0225
44201,0310025,1,2010-02-12,Parts per million,0.03225
44201,0310025,1,2010-02-13,Parts per million,0.045
44201,0310025,1,2010-02-14,Parts per million,0.0375
44201,0310025,1,2010-02-15,Parts per million,0.030375
44201,0310025,1,2010-02-16,Parts per million,0.026
